Course_ID,Soft_Skill_ID
CS_1,SS_8
CS_1,SS_13
CS_2,SS_2
CS_2,SS_8
CS_2,SS_16
CS_3,SS_8
CS_3,SS_10
CS_3,SS_13
CS_5,SS_8
CS_5,SS_10
CS_5,SS_13
CS_6,SS_8
CS_6,SS_10
CS_6,SS_13
CS_7,SS_8
CS_7,SS_19
CS_8,SS_5
CS_8,SS_8
CS_8,SS_10
CS_8,SS_13
CS_9,SS_2
CS_9,SS_8
CS_10,SS_2
CS_10,SS_8
CS_11,SS_5
CS_11,SS_8
CS_11,SS_19
CS_12,SS_2
CS_12,SS_8
CS_13,SS_2
CS_13,SS_8
CS_26,SS_1
CS_26,SS_2
CS_26,SS_8
CS_26,SS_19
CS_27,SS_1
CS_27,SS_2
CS_27,SS_8
CS_27,SS_19
CS_28,SS_1
CS_28,SS_2
CS_28,SS_8
CS_28,SS_19
CS_29,SS_1
CS_29,SS_2
CS_29,SS_8
CS_29,SS_19
CS_30,SS_1
CS_30,SS_2
CS_30,SS_8
CS_30,SS_19
CS_31,SS_1
CS_31,SS_2
CS_31,SS_8
CS_31,SS_19
CS_32,SS_1
CS_32,SS_2
CS_32,SS_8
CS_32,SS_19
CS_33,SS_1
CS_33,SS_2
CS_33,SS_8
CS_33,SS_19
CS_34,SS_1
CS_34,SS_2
CS_34,SS_8
CS_34,SS_19
CS_41,SS_8
CS_41,SS_10
CS_41,SS_13
CS_45,SS_1
CS_45,SS_2
CS_45,SS_10
CS_45,SS_16