Career_ID,Knowledge_ID
CR_1,KN_1
CR_1,KN_2
CR_2,KN_3
CR_2,KN_4
CR_2,KN_5
CR_2,KN_6
CR_2,KN_7
CR_2,KN_9
CR_3,KN_3
CR_3,KN_4
CR_3,KN_5
CR_3,KN_8
CR_3,KN_9
CR_4,KN_3
CR_4,KN_4
CR_4,KN_6
CR_4,KN_7
CR_4,KN_8
CR_4,KN_10
CR_4,KN_11
CR_5,KN_3
CR_5,KN_4
CR_5,KN_5
CR_5,KN_8
CR_5,KN_11
CR_5,KN_12
CR_6,KN_3
CR_6,KN_4
CR_6,KN_6
CR_6,KN_8
CR_6,KN_11
CR_6,KN_12
CR_6,KN_13
CR_7,KN_3
CR_7,KN_4
CR_7,KN_5
CR_7,KN_6
CR_7,KN_7
CR_7,KN_9
CR_7,KN_14
CR_8,KN_3
CR_8,KN_4
CR_8,KN_6
CR_8,KN_7
CR_8,KN_8
CR_8,KN_9
CR_8,KN_11
CR_8,KN_14
CR_9,KN_6
CR_9,KN_7
CR_9,KN_9
CR_9,KN_14
CR_10,KN_3
CR_10,KN_4
CR_10,KN_5
CR_10,KN_7
CR_10,KN_11
CR_10,KN_14
CR_10,KN_15