Course_ID,Course_Name
CS_1,Spreadsheets for Beginners using Google Sheets
CS_2,"Ultimate Microsoft Office; Excel, Word, PowerPoint"
CS_3,Introducing Microsoft Dynamics 365
CS_4,Certification ADP Accountant Connect
CS_5,Fund Accounting Basic
CS_6,Alteryx Bootcamp
CS_7,SAP for Beginners course | SAP ERP with practice
CS_8,SPSS Masterclass: Learn SPSS From Scratch to Advanced
CS_9,Master Microsoft Outlook - Outlook from Beginner to Advanced
CS_10,Microsoft Access Complete Beginner to Advanced
CS_11,Proficient in Facebook marketing
CS_12,Mastering Microsoft 365 SharePoint Online: Essential Guide
CS_13,Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU
CS_14,Microsoft Power BI Desktop for Business Intelligence
CS_15,The Complete Communication Skills Master Class for Life
CS_16,Mastering Organizational Skills for Success
CS_17,The Project Management Course: Beginner to Project Manager
CS_18,Master your Decision-Making and Critical Thinking Skills
CS_19,Advanced Monitoring and Evaluation
CS_20,Business Data Analytics (IIBAÂ®-CBDA Exam preparation)
CS_21,Leadership: Practical Leadership Skill
CS_22,Successful Negotiation: Master Your Negotiating Skill
CS_23,Presentation Skills: Master Confident Presentation
CS_24,Data-Driven Decision Making for Manager
CS_25,Productivity and Time Management for the Overwhelmed
CS_26,Complete English Course: Master English Beginner to Advanced
CS_27,Complete Japanese Course: Learn Japanese for Beginners
CS_28,The Complete French Course : Learn French - Beginners
CS_29,Complete German Course: Learn German for Beginners
CS_30,Chinese language for beginners : Mandarin Chinese HSK1-HSK3
CS_31,Complete Korean Course: Learn Korean for Beginners
CS_32,Complete Russian Course: Learn Russian for Beginners
CS_33,Complete Spanish Course: Master Spanish Beginner to Advanced
CS_34,Complete Portuguese Course: Portuguese for Beginners
CS_35,"Social Media Film School: TikTok, Instagram, YouTube & AI"
CS_36,PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU
CS_37,Professional Diploma in Office Administration Management
CS_38,Customer Service Mastery: Delight Every Customer
CS_39,Fundamentals of Administrative Professional
CS_40,Macroeconomics: A Comprehensive Economics Course
CS_41,Master the Fundamentals of Math
CS_42,Professional in Human Resources (PHR/SPHR HRCI)
CS_43,Government Contracting for Everyone
CS_44,International Logistics & Transportation in Supply Chain
CS_45,The Complete Sales Skills Master Class - Sales Marketing B2B
CS_46,Mastering Content : The Ultimate Guide to Content Marketing
CS_47,Computer Literacy & Basic Computer Skills for Productivity